Atleta;Nascimento;Categoria;Semana;Dia;Período;Competição;Pesagem;Afastamento T;Afastamento P;PSE QUA;PSE SAB;TQR SEG;TQR QUA;TQR SEX;Tensão;Depressão;Raiva;Vigor;Fadiga;Confusão;Notas;Teste Salto Squat;Teste Salto CMJ;Teste Agachamento;Teste Supino;Teste Remada;Teste Salto Tatame;Teste Barra;UK Velocidade;UK Resistência
1;02/09/2002;48;1;22/01/2024;C;;;;;;;;;;;;;;;;;;;458,7;126,6666667;271,2;;;;
2;22/07/2004;60;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;673,8;285,1;489,3;271;18;3,6125;531
3;25/05/2006;73;1;22/01/2024;;;;;;;;;;;;;;;;;;;;;;;;;;
4;14/05/2002;78;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;501,6;304,6;295;196;2;3,69;196
5;20/05/1998;78;1;22/01/2024;A3;;;;;;;;;;;;;;;;;;;683,6;338,4;622,4;176;;3,66;176
6;14/03/2005;57;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;518,9;400,1111111;302,5;207;9;3,045;447
7;25/01/2005;100;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;485,1;583,1;604,6;145;;5,08;145
8;16/09/2006;66;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;692,7;364,1;440,9;259;18;3,175;557
9;25/10/1994;81;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;1066,1;662,5;672,5;295;14;3,855;239
10;09/04/2007;81;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;552;408,2;469,3;239;20;3,8575;295
11;13/05/1998;70;1;22/01/2024;C;;;;;;;;;;;;;;;;;;;628,1;337,4;390,6;205;10;3,1625;205
12;09/12/2005;81;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;669,9;474,2;;257;;3,94;257
13;23/01/2008;60;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;580,3;326,7777778;245;241;16;3,4725;480
14;20/02/2002;60;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;649,8888889;301,1;380,1;241;20;3,0875;365
15;25/10/2001;100;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;971,7;565,2;502,4;232;14;3,4775;232
16;16/05/2008;57;1;22/01/2024;;;;;;;;;;;;;;;;;;;;;;;;;;
17;17/04/1998;90;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;775,2;481,3;635,4;262;13;2,97;249
18;01/02/2007;60;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;576,5;257;284;211;15;4,0625;297
19;01/11/2005;90;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;726;343,1;487,4;247;21;3,405;244
20;24/06/2000;73;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;;;;;;;
21;10/04/2006;48;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;451,9;205,6;208,7777778;208;12;4,225;385
22;09/04/2008;48;1;22/01/2024;;;;;;;;;;;;;;;;;;;;;;;;;;
23;23/05/2003;78;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;;324,2;338,2;;;3,9375;
24;12/06/1998;63;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;769,2;394,1;317,9;238;11;3,6925;398
25;01/03/1999;52;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;737,8;345;309;218;10;3,255;268
26;10/12/2006;100;1;22/01/2024;;;;;;;;;;;;;;;;;;;;;;;;;;
27;08/10/2007;63;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;460,5;162,6;249,6666667;200;4;3,7575;411
28;04/05/1999;73;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;1121,4;475,2;622,9;275;12;3,735;275
29;27/03/2008;60;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;516,9;288,2;411,3;217;20;3,785;322
30;21/09/2003;73;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;679,6;588,5555556;498,8;267;11;3,565;267
31;27/02/2003;63;1;22/01/2024;C;;;;;;;;;;;;;;;;;;;618,7777778;383,5;340,6;232;13;3,385;437
32;15/01/2009;73;1;22/01/2024;;;;;;;;;;;;;;;;;;;;;;;;;;
33;13/08/2004;100;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;663,5;532,3;534,2;273;13;4,33;273
34;06/10/1991;100;1;22/01/2024;C;;;;;;;;;;;;;;;;;;;824,2;710,2;594,5;221;7;3,035;221
35;23/03/2007;52;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;578,7;244,7;240,4285714;224;11;3,7825;373
36;30/04/2003;60;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;710,875;343,8;525,1;284;19;2,825;275
37;08/11/2004;66;1;22/01/2024;;;;;;;;;;;;;;;;;;;;817,1;546,5;462,1;247;23;3,625;247
38;04/11/2003;57;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;463,1;279,7777778;310,25;211;10;3,5125;356
39;29/01/2007;63;1;22/01/2024;;;;;;;;;;;;;;;;;;;;;;;;;;
40;25/01/1990;81;1;22/01/2024;A2;;;;;;;;;;;;;;;;;;;1082;503;585,5;266;18;3,5275;262
41;31/01/2000;66;1;22/01/2024;B;;;;;;;;;;;;;;;;;;;1102,6;445,8;546,2;249;28;2,845;249
1;02/09/2002;48;2;01/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;
2;22/07/2004;60;2;01/04/2024;AB;;;;;;;;;;;;;;;;;;;758,9;422,5;448,4;262;;2,945;512
3;25/05/2006;73;2;01/04/2024;A1;;;;;;;;;;;;;;;;;;;;;;;;;
4;14/05/2002;78;2;01/04/2024;C;;;;;;;;;;;;;;;;;;;556;331;323;204;2;3,58;297
5;20/05/1998;78;2;01/04/2024;;;;;;;;;;;;;;;;;;;;641;370,6;426,9;169;;3,085;87
6;14/03/2005;57;2;01/04/2024;C;;;;;;;;;;;;;;;;;;;603,4;186;235,6;210;10;2,905;469
7;25/01/2005;100;2;01/04/2024;AB;;;;;;;;;;;;;;;;;;;565,7;687,7;563;161;;4,175;58
